53772     	37.78 	112.55      133	太    原	
53868     	36.05 	111.32      134	临    汾	
53646     	38.23 	109.70      135	榆    林	
53845     	36.60 	109.50      136	延    安	
53923     	35.73 	107.63      137	西 峰 镇	
52889     	36.05 	103.88      138	兰    州	
53905     	37.48 	105.67      139	中    宁	
53614     	38.48 	106.22      140	银    川	
52866     	36.62 	101.77      141	西    宁	
52984     	35.58 	103.18      142	临    夏	
56033     	34.92 	 98.22      143	玛    多	
56029     	33.02 	 97.02      144	玉    树	
52679     	38.05 	102.55      145	武    威	
52652     	38.93 	100.43      146	张    掖	
52533     	39.77 	 98.48      147	酒    泉	
52418     	40.15 	 94.68      148	敦    煌	
51573     	42.93 	 89.20      149	吐 鲁 番	
51644     	41.72 	 82.95      150	库    车	
51709     	39.47 	 75.98      151	喀    什	
51828     	37.13 	 79.93      152	和    田	
51855     	38.15 	 85.55      153	且    末	
51777     	39.03 	 88.17      154	若    羌	
52203     	42.82 	 93.52      155	哈    密	
51076     	47.73 	 88.08      156	阿 勒 泰	
51133     	46.73 	 83.00      157	塔    城	
51346     	44.43 	 84.66      158	乌    苏	
51431     	43.95 	 81.33      159	伊    宁	
51463     	43.78 	 87.62      160	乌鲁木齐	
