农资20(1)班 班 2021-2022-2 课表,,,,,,,
时间,星期一,星期二,星期三,星期四,星期五,,
"上午第1,2节", ,环境化学Ⅰ◇石陶然/吴洪生(1-16)(农资20(1)班;)◇(中苑)明德N609◇多媒体教室◇{12节}, ,环境化学Ⅰ◇石陶然/吴洪生(1-16)(农资20(1)班;)◇(中苑)文德N209◇多媒体教室◇单周{12节},学术英语（2）◇大外部()◇{12节}, , 
"上午第3,4节",体育（4）◇体育部()◇{34节},植物生理学◇郎漫(1-16)(农资20(1)班;)◇(中苑)明德N108◇多媒体教室◇{34节},作物栽培学◇李映雪/郎漫(1-16)(农资20(1)班;)◇(中苑)文德S204◇多媒体教室◇{34节},遥感原理与应用Ⅱ◇李映雪(1-16)(农资20(1)班;)◇(中苑)文德S301◇多媒体教室◇{34节},气象灾害学◇王琪(1-16)(农资20(1)班;)◇(中苑)文德S204◇多媒体教室◇{34节}, , 
"下午第5,6节",基础微生物学◇纪洋(1-16)(农资20(1)班;)◇(中苑)明德N108◇多媒体教室◇{56节},学术英语（2）◇大外部()◇{56节}, ,土壤学◇王艳玲(1-16)(农资20(1)班;)◇(中苑)文德S601◇多媒体教室◇{56节}, , , 
"下午第7,8节",智能农业◇吴春发(1-16)(农资20(1)班;)◇(中苑)文德N210◇多媒体教室◇{78节}, , ,土壤地理学◇孙丽英/李平(1-16)(农资20(1)班;)◇(中苑)文德N210◇多媒体教室◇{78节}, , , 
"晚上第9,10节", , , , , , , 
"晚上第11,12节", , , , , , , 
