气科类20(13)班 班 2021-2022-2 课表,,,,,,,
时间,星期一,星期二,星期三,星期四,星期五,,
"上午第1,2节", ,天气学原理◇李娟/马静(1-16)(气科类20(14)班;气科类20(13)班;)◇(中苑)文德N615◇多媒体教室◇{12节}, ,大气探测学◇杨元建(1-16)(气科类21(1)班;气科类21(2)班;)◇(中苑)明德S403◇多媒体教室◇{12节}, , , 
"上午第3,4节",气象程序设计及绘图Ⅰ◇许冬梅(1-16)(气科类20(14)班;气科类20(13)班;)◇(中苑)明德N104◇多媒体教室◇单周{34节}◆现代气候学◇蔡晓军(1-16)(气科类20(14)班;气科类20(13)班;)◇(中苑)明德N104◇多媒体教室◇双周{34节},学术英语（2）◇大外部()◇{34节},现代气候学◇蔡晓军(1-16)(气科类20(14)班;气科类20(13)班;)◇(中苑)明德N104◇多媒体教室◇{34节},天气学分析基础◇徐鑫萍(1-16)(气科类20(13)班;)◇(中苑)文德N619◇多媒体教室◇{34节},天气学原理◇李娟/马静(1-16)(气科类20(14)班;气科类20(13)班;)◇(中苑)文德N615◇多媒体教室◇{34节}, , 
"下午第5,6节",体育（4）◇体育部()◇{56节}, , ,计算方法◇高骏强(1-16)(气科类20(14)班;气科类20(15)班;气科类20(13)班;)◇(中苑)藕舫楼205◇多媒体教室◇{56节}, , , 
"下午第7,8节", , , ,气象程序设计及绘图Ⅰ◇许冬梅(1-16)(气科类20(14)班;气科类20(13)班;)◇(中苑)明德N003◇多媒体教室◇{78节},学术英语（2）◇大外部()◇{78节}, , 
"晚上第9,10节", , , , , , , 
"晚上第11,12节", , , , , , , 
